Category: All categories

Month,Fast Fourier transform: (Worldwide),Linear regression: (Worldwide),Linear programming: (Worldwide),Recursion: (Worldwide),Iteration: (Worldwide)
2004-01,58,23,24,49,30
2004-02,59,27,28,54,35
2004-03,59,27,31,54,37
2004-04,61,34,28,57,35
2004-05,65,30,31,48,33
2004-06,69,26,24,48,33
2004-07,53,19,19,40,33
2004-08,48,23,24,40,30
2004-09,60,23,27,44,36
2004-10,79,29,30,50,36
2004-11,65,30,32,53,35
2004-12,53,27,23,45,29
2005-01,54,20,19,45,29
2005-02,59,27,23,46,34
2005-03,60,26,23,46,32
2005-04,59,28,26,45,32
2005-05,75,27,26,45,32
2005-06,72,26,22,43,30
2005-07,54,17,16,34,27
2005-08,47,17,18,35,26
2005-09,58,23,22,41,30
2005-10,93,26,23,41,29
2005-11,64,29,25,46,32
2005-12,48,22,17,38,26
2006-01,53,19,17,36,27
2006-02,56,25,21,37,30
2006-03,55,24,20,37,27
2006-04,58,26,19,39,25
2006-05,65,25,19,39,29
2006-06,68,19,16,33,27
2006-07,51,15,12,29,25
2006-08,49,16,14,29,25
2006-09,58,19,15,34,26
2006-10,76,23,17,35,27
2006-11,59,24,18,38,29
2006-12,51,19,14,31,24
2007-01,54,18,13,30,26
2007-02,54,19,16,32,24
2007-03,56,22,15,33,27
2007-04,59,21,14,33,26
2007-05,100,22,15,33,27
2007-06,90,19,14,30,26
2007-07,57,16,11,26,24
2007-08,45,15,12,27,24
2007-09,51,18,16,30,26
2007-10,66,22,16,33,28
2007-11,53,22,16,35,28
2007-12,47,18,13,27,22
2008-01,50,15,12,29,24
2008-02,50,19,15,29,26
2008-03,47,19,14,27,25
2008-04,52,22,15,31,28
2008-05,59,19,13,28,26
2008-06,64,17,12,26,25
2008-07,47,15,10,23,24
2008-08,40,13,10,23,21
2008-09,49,18,14,26,26
2008-10,61,21,15,29,25
2008-11,51,22,16,30,26
2008-12,42,17,12,25,23
2009-01,42,15,12,25,24
2009-02,44,19,13,28,25
2009-03,43,19,14,29,27
2009-04,44,21,14,27,27
2009-05,54,20,14,27,25
2009-06,55,18,12,25,25
2009-07,39,14,10,64,23
2009-08,36,13,10,29,22
2009-09,41,18,14,36,25
2009-10,47,21,15,33,26
2009-11,39,22,16,40,26
2009-12,32,18,12,30,22
2010-01,32,15,11,30,22
2010-02,33,19,12,31,26
2010-03,33,21,13,36,26
2010-04,35,22,13,37,26
2010-05,41,21,14,31,25
2010-06,39,17,12,30,24
2010-07,30,13,9,25,21
2010-08,28,13,9,23,21
2010-09,34,18,13,27,24
2010-10,43,21,14,31,25
2010-11,36,21,15,32,26
2010-12,30,17,12,26,22
2011-01,31,15,10,27,23
2011-02,32,19,12,27,25
2011-03,29,19,12,30,26
2011-04,32,20,12,36,26
2011-05,38,20,12,30,26
2011-06,35,16,11,28,25
2011-07,28,13,8,23,22
2011-08,28,12,9,23,22
2011-09,28,18,12,28,25
2011-10,36,21,13,28,26
2011-11,30,22,14,65,27
2011-12,27,17,11,46,21
2012-01,28,15,10,30,24
2012-02,28,19,11,30,26
2012-03,27,18,12,29,27
2012-04,28,20,11,32,26
2012-05,31,20,12,30,26
2012-06,32,16,11,25,24
2012-07,24,12,7,22,24
2012-08,21,12,8,23,23
2012-09,26,18,12,26,25
2012-10,34,21,13,29,28
2012-11,25,21,13,30,27
2012-12,22,17,10,26,22
2013-01,23,15,9,27,25
2013-02,23,19,11,30,27
2013-03,23,17,11,28,27
2013-04,26,21,11,30,28
2013-05,27,20,11,28,28
2013-06,29,15,10,24,25
2013-07,22,13,7,26,25
2013-08,19,12,7,23,24
2013-09,22,17,11,28,26
2013-10,28,22,13,36,30
2013-11,23,22,13,34,29
2013-12,20,17,10,27,24
2014-01,21,14,9,29,27
2014-02,21,19,11,30,28
2014-03,22,20,11,29,29
2014-04,23,21,10,29,28
2014-05,26,20,11,30,29
2014-06,26,16,10,29,27
2014-07,19,13,7,35,26
2014-08,18,12,9,23,24
2014-09,24,18,12,28,29
2014-10,29,22,13,29,30
2014-11,22,23,13,30,30
2014-12,18,18,10,27,25
2015-01,19,15,9,27,26
2015-02,19,19,10,29,30
2015-03,20,20,11,29,31
2015-04,20,22,11,31,31
2015-05,23,20,11,28,28
2015-06,22,17,10,28,30
2015-07,17,13,6,22,27
2015-08,16,13,8,21,26
2015-09,19,19,11,26,30
2015-10,21,22,12,28,33
2015-11,19,23,12,29,31
2015-12,16,19,10,25,28
2016-01,17,16,9,25,29
2016-02,17,20,10,28,32
2016-03,17,20,10,28,32
2016-04,18,23,11,28,32
2016-05,18,22,10,27,31
2016-06,17,16,9,24,30
2016-07,14,13,7,20,27
2016-08,13,14,8,22,28
2016-09,15,20,10,27,32
2016-10,17,23,12,27,33
2016-11,16,24,12,28,34
2016-12,15,20,9,25,28
2017-01,15,16,8,24,30
2017-02,17,21,9,29,36
