"sample","dimensionone","dimensiontwo","dimensionthree","dimensionfour"
1,"B","0","C","0"
2,"B","0","C","0"
3,"B","1","C","-1"
4,"B","-1","D","-1"
5,"B","1","F","0"
6,"B","0","F","-2"
7,"B","1","C","-1"
8,"B","-1","C","1"
9,"B","1","C","2"
10,"B","0","E","2"
11,"B","0","F","-2"
12,"A","0","F","-2"
13,"B","1","C","-1"
14,"A","-1","E","-2"
15,"B","1","E","1"
16,"A","-1","F","0"
17,"A","1","F","2"
18,"B","1","C","2"
19,"A","-1","F","-1"
20,"B","-1","C","-2"
21,"B","0","D","0"
22,"B","1","E","1"
23,"B","1","F","-2"
24,"B","1","E","-2"
25,"A","-1","C","-2"
26,"B","1","E","-1"
27,"B","0","C","1"
28,"B","1","F","-2"
29,"B","-1","E","2"
30,"A","-1","D","0"
31,"A","-1","E","-2"
32,"B","1","F","-2"
33,"B","1","E","2"
34,"B","1","F","-2"
35,"B","-1","F","-2"
36,"B","0","D","2"
37,"A","0","E","-2"
38,"A","-1","E","-1"
39,"B","0","D","0"
40,"B","1","C","1"
41,"B","-1","C","1"
42,"B","1","F","1"
43,"B","0","E","1"
44,"A","-1","C","0"
45,"A","-1","C","2"
46,"B","1","C","2"
47,"A","-1","F","0"
48,"B","0","E","2"
49,"A","-1","C","1"
50,"A","-1","E","-1"
51,"B","1","D","0"
52,"B","1","E","0"
53,"A","0","F","0"
54,"A","-1","E","0"
55,"B","0","F","2"
56,"B","0","C","2"
57,"B","-1","E","-1"
58,"A","0","F","-1"
59,"B","1","F","-2"
60,"A","-1","D","1"
61,"A","0","D","1"
62,"B","0","D","2"
63,"A","-1","F","-1"
64,"A","-1","C","2"
65,"A","-1","F","2"
66,"B","1","C","0"
67,"A","-1","C","-1"
68,"B","1","C","-2"
69,"A","-1","F","-1"
70,"B","0","F","-2"
71,"B","0","F","1"
72,"B","0","F","0"
73,"B","0","C","-1"
74,"A","-1","D","-1"
75,"A","0","F","2"
76,"B","0","D","0"
77,"A","-1","F","-2"
78,"A","-1","F","-1"
79,"B","1","E","-1"
80,"B","1","D","0"
81,"B","1","C","1"
82,"A","0","D","1"
83,"A","-1","F","-1"
84,"A","0","C","2"
85,"B","1","D","1"
86,"B","1","E","2"
87,"B","-1","C","0"
88,"B","1","C","0"
89,"B","1","C","-2"
90,"B","-1","C","0"
91,"A","-1","C","1"
92,"B","1","C","-2"
93,"B","1","F","-2"
94,"B","-1","C","2"
95,"A","0","C","1"
96,"A","0","C","0"
97,"A","1","C","1"
98,"B","-1","C","2"
99,"B","1","F","0"
100,"B","-1","C","1"
101,"B","1","D","1"
102,"B","0","F","-1"
103,"A","0","D","0"
104,"B","0","C","1"
105,"A","0","D","-2"
106,"A","1","C","2"
107,"A","-1","D","-1"
108,"A","-1","D","1"
109,"A","-1","F","0"
110,"B","0","C","-1"
111,"B","1","C","0"
112,"B","0","F","2"
113,"B","0","C","-1"
114,"A","-1","C","2"
115,"A","-1","F","-1"
116,"B","0","F","0"
117,"A","0","E","2"
118,"A","-1","E","-1"
119,"A","-1","E","2"
120,"B","1","E","-1"
121,"A","0","E","1"
122,"A","1","C","0"
123,"B","1","F","-2"
124,"A","-1","C","0"
125,"B","1","D","0"
126,"A","-1","E","2"
127,"A","1","F","-1"
128,"B","1","E","-2"
129,"A","-1","F","-2"
