Category: All categories

Month,Mortgage loan: (Worldwide),Credit: (Worldwide),Loan: (Worldwide),Bankruptcy: (Worldwide),Health insurance: (Worldwide)
2004-01,90,65,83,23,39
2004-02,89,65,82,23,35
2004-03,94,65,85,22,34
2004-04,90,67,88,23,34
2004-05,83,64,84,21,33
2004-06,83,65,87,22,34
2004-07,83,66,88,23,36
2004-08,81,67,87,22,37
2004-09,73,67,80,23,34
2004-10,69,67,75,22,33
2004-11,66,63,73,21,33
2004-12,59,60,68,19,30
2005-01,81,68,81,20,35
2005-02,84,71,83,22,32
2005-03,79,69,82,24,32
2005-04,78,69,83,23,30
2005-05,77,69,82,21,30
2005-06,80,71,92,21,31
2005-07,77,69,86,20,31
2005-08,81,67,88,22,33
2005-09,69,68,77,24,29
2005-10,69,67,73,26,30
2005-11,63,65,70,19,30
2005-12,59,60,64,17,29
2006-01,79,69,77,18,34
2006-02,75,69,79,17,30
2006-03,75,70,80,16,29
2006-04,73,67,81,16,28
2006-05,74,70,83,16,28
2006-06,73,67,88,15,28
2006-07,78,68,89,15,29
2006-08,78,70,87,15,30
2006-09,68,70,78,16,29
2006-10,68,69,76,16,29
2006-11,63,67,72,15,28
2006-12,57,61,67,14,26
2007-01,77,72,81,14,31
2007-02,78,72,79,15,28
2007-03,76,75,83,15,28
2007-04,72,72,81,15,28
2007-05,68,74,82,14,27
2007-06,67,77,83,15,27
2007-07,73,76,88,15,29
2007-08,75,74,92,16,28
2007-09,62,75,79,14,26
2007-10,57,75,74,15,27
2007-11,52,76,69,16,26
2007-12,47,68,63,14,23
2008-01,72,80,78,17,29
2008-02,70,80,76,17,26
2008-03,66,78,76,17,25
2008-04,61,80,76,19,26
2008-05,53,79,74,19,23
2008-06,53,76,73,17,24
2008-07,55,78,77,20,25
2008-08,49,76,74,19,25
2008-09,54,80,74,28,25
2008-10,54,80,69,30,26
2008-11,48,74,69,29,24
2008-12,60,69,65,28,23
2009-01,67,80,74,30,26
2009-02,66,81,72,33,25
2009-03,69,82,73,30,25
2009-04,63,78,75,29,25
2009-05,52,76,70,28,23
2009-06,53,76,73,30,26
2009-07,52,77,79,27,28
2009-08,49,77,75,24,29
2009-09,46,77,70,25,27
2009-10,44,74,65,24,26
2009-11,40,74,63,24,26
2009-12,36,70,57,22,23
2010-01,46,75,67,24,26
2010-02,46,78,67,24,25
2010-03,47,80,69,24,28
2010-04,43,79,69,23,24
2010-05,40,74,67,22,22
2010-06,42,74,70,23,23
2010-07,44,73,71,21,22
2010-08,45,76,71,21,23
2010-09,41,76,65,20,22
2010-10,40,75,64,20,21
2010-11,38,75,63,20,21
2010-12,32,70,57,17,19
2011-01,41,76,64,19,22
2011-02,40,76,64,20,21
2011-03,38,75,62,18,20
2011-04,36,75,65,19,19
2011-05,35,76,63,17,19
2011-06,36,76,67,19,19
2011-07,36,74,67,18,19
2011-08,39,74,68,18,20
2011-09,37,75,67,19,19
2011-10,37,74,63,18,19
2011-11,34,77,62,19,19
2011-12,30,71,58,16,17
2012-01,40,77,64,20,20
2012-02,40,76,66,18,20
2012-03,39,78,64,17,19
2012-04,37,76,67,17,18
2012-05,37,74,68,17,17
2012-06,36,75,67,17,19
2012-07,39,74,71,18,20
2012-08,37,74,71,17,19
2012-09,37,78,68,17,18
2012-10,36,76,67,18,19
2012-11,32,75,63,17,18
2012-12,29,69,58,14,15
2013-01,40,78,67,16,19
2013-02,41,78,65,16,18
2013-03,39,77,65,16,18
2013-04,39,80,70,15,19
2013-05,38,79,69,14,17
2013-06,38,77,69,14,17
2013-07,37,79,73,15,18
2013-08,36,74,71,14,20
2013-09,34,77,67,14,21
2013-10,34,79,65,14,25
2013-11,31,79,65,13,21
2013-12,28,73,62,11,19
2014-01,38,82,71,12,21
2014-02,37,81,68,13,20
2014-03,36,80,67,12,22
2014-04,35,81,70,12,21
2014-05,34,81,70,12,18
2014-06,33,80,69,11,17
2014-07,35,84,72,11,19
2014-08,34,85,73,11,18
2014-09,33,89,71,12,19
2014-10,32,91,69,12,20
2014-11,31,91,66,12,21
2014-12,28,89,64,11,20
2015-01,40,92,69,12,22
2015-02,40,94,69,12,22
2015-03,38,94,71,12,20
2015-04,38,95,73,12,19
2015-05,36,90,71,11,17
2015-06,37,89,76,13,18
2015-07,37,88,77,17,19
2015-08,36,87,77,12,19
2015-09,34,86,74,13,19
2015-10,33,88,74,13,20
2015-11,32,89,74,12,22
2015-12,31,87,70,11,21
2016-01,41,95,79,13,24
2016-02,43,93,77,14,21
2016-03,40,92,76,13,21
2016-04,40,92,80,13,20
2016-05,41,89,78,12,18
2016-06,37,89,81,12,19
2016-07,38,88,82,11,19
2016-08,40,95,84,11,20
2016-09,37,94,80,12,19
2016-10,36,92,78,11,21
2016-11,35,97,77,12,24
2016-12,31,88,72,10,20
2017-01,45,95,82,11,24
2017-02,45,100,84,12,23
