"subject","time","event"
1,6,"A"
1,14,"A"
1,21,"D"
1,24,"A"
1,26,"B"
1,31,"C"
1,32,"B"
1,37,"C"
1,41,"D"
1,48,"C"
1,53,"B"
1,58,"C"
1,62,"B"
2,2,"C"
2,10,"C"
2,12,"B"
2,14,"D"
2,22,"A"
2,25,"D"
2,27,"B"
2,29,"D"
3,6,"E"
3,13,"C"
3,14,"D"
3,20,"D"
3,24,"A"
3,28,"E"
3,31,"B"
3,38,"C"
3,40,"C"
3,42,"A"
3,48,"C"
3,50,"C"
3,54,"A"
3,59,"D"
3,63,"E"
3,65,"E"
3,73,"C"
3,77,"A"
4,6,"C"
4,10,"D"
4,12,"C"
4,13,"A"
4,15,"D"
4,17,"B"
4,21,"C"
4,27,"B"
4,30,"C"
4,37,"B"
4,45,"B"
4,51,"D"
4,59,"D"
4,62,"B"
4,69,"C"
4,72,"C"
5,7,"C"
5,13,"D"
5,19,"C"
5,22,"C"
5,28,"E"
5,34,"B"
5,36,"C"
5,42,"E"
5,49,"C"
5,53,"B"
5,60,"B"
6,7,"E"
6,11,"C"
6,16,"B"
6,22,"C"
6,28,"C"
6,36,"B"
6,42,"D"
6,48,"D"
6,52,"B"
6,60,"B"
6,65,"C"
6,69,"A"
6,76,"C"
6,77,"A"
7,2,"C"
7,10,"C"
7,18,"D"
7,23,"C"
7,24,"B"
7,28,"D"
7,36,"E"
7,37,"B"
7,40,"C"
7,42,"C"
7,50,"C"
7,53,"E"
7,57,"A"
7,63,"B"
7,64,"C"
7,68,"C"
7,70,"C"
7,74,"D"
7,78,"C"
8,5,"A"
8,10,"D"
8,14,"D"
8,15,"B"
8,23,"E"
8,26,"D"
8,28,"C"
8,33,"B"
8,36,"C"
9,5,"D"
9,8,"C"
9,11,"C"
9,14,"B"
9,15,"A"
9,16,"C"
9,19,"C"
9,21,"C"
9,26,"A"
9,28,"C"
9,30,"C"
9,33,"C"
9,37,"C"
9,44,"D"
9,46,"D"
9,49,"D"
10,4,"B"
10,12,"C"
10,14,"E"
10,18,"C"
10,22,"A"
10,24,"D"
10,29,"C"
10,37,"C"
10,45,"C"
10,50,"B"
10,52,"B"
10,55,"B"
10,63,"D"
10,70,"E"
10,78,"D"
11,8,"A"
11,10,"C"
11,12,"C"
11,13,"D"
11,15,"C"
11,22,"C"
11,28,"C"
11,35,"D"
11,37,"A"
11,44,"E"
11,51,"C"
11,54,"E"
11,61,"A"
11,63,"C"
11,67,"B"
12,7,"C"
12,10,"D"
12,15,"A"
12,22,"B"
12,26,"B"
12,33,"B"
12,35,"C"
12,42,"C"
12,48,"C"
12,49,"D"
12,54,"D"
12,61,"C"
12,63,"C"
12,64,"C"
12,69,"B"
12,74,"D"
13,1,"B"
13,4,"C"
13,12,"B"
13,17,"C"
13,25,"C"
13,27,"B"
13,35,"C"
13,42,"D"
13,47,"C"
13,48,"B"
13,54,"C"
13,56,"D"
13,60,"C"
13,66,"C"
13,72,"D"
13,78,"C"
13,83,"E"
14,4,"C"
14,7,"B"
14,8,"A"
14,14,"B"
14,22,"B"
14,28,"C"
14,32,"C"
14,36,"A"
14,40,"C"
14,45,"A"
14,47,"C"
14,55,"C"
14,59,"A"
14,66,"C"
14,74,"B"
14,81,"C"
14,84,"D"
14,87,"A"
14,92,"B"
14,97,"B"
15,7,"D"
15,10,"B"
15,15,"E"
15,23,"C"
15,27,"B"
15,34,"D"
15,38,"B"
15,45,"A"
15,48,"D"
15,52,"C"
15,55,"C"
15,63,"B"
15,70,"D"
15,77,"C"
15,82,"D"
16,5,"C"
16,10,"D"
16,11,"C"
16,14,"C"
16,15,"C"
16,16,"C"
16,21,"C"
16,26,"B"
16,32,"C"
16,35,"D"
16,36,"A"
17,5,"A"
17,7,"C"
17,8,"C"
17,12,"D"
17,15,"C"
17,20,"D"
17,28,"A"
17,31,"B"
17,39,"D"
17,47,"E"
18,2,"B"
18,7,"D"
18,15,"B"
18,18,"C"
18,21,"C"
18,27,"C"
18,31,"C"
18,34,"B"
18,40,"C"
18,47,"E"
18,51,"C"
18,56,"D"
18,59,"D"
18,64,"E"
18,67,"A"
18,71,"C"
18,74,"C"
19,8,"B"
19,15,"C"
19,22,"D"
19,23,"D"
19,25,"D"
19,28,"A"
19,33,"D"
19,38,"A"
19,44,"C"
19,50,"E"
19,54,"B"
19,56,"C"
19,62,"C"
19,70,"C"
19,77,"C"
19,80,"B"
19,85,"B"
19,90,"C"
19,92,"C"
19,98,"C"
19,102,"B"
19,106,"D"
20,4,"A"
20,7,"D"
20,13,"C"
20,15,"E"
20,22,"B"
20,28,"D"
20,33,"B"
20,40,"C"
20,42,"C"
20,47,"E"
20,50,"A"
20,52,"D"
20,57,"C"
20,61,"C"
20,63,"C"
20,64,"B"
21,1,"C"
21,2,"C"
21,8,"A"
21,12,"C"
21,13,"A"
21,17,"C"
21,23,"C"
21,30,"B"
21,37,"C"
21,44,"B"
21,46,"C"
21,47,"C"
21,50,"D"
21,53,"B"
21,55,"D"
21,63,"E"
21,69,"E"
21,73,"B"
21,80,"E"
21,88,"D"
21,94,"C"
21,101,"C"
21,106,"C"
21,107,"C"
22,4,"A"
22,5,"A"
22,6,"B"
22,14,"A"
22,20,"D"
22,27,"C"
22,31,"C"
22,35,"B"
22,39,"D"
22,42,"E"
22,49,"A"
22,53,"A"
22,58,"D"
22,63,"D"
22,64,"D"
22,65,"C"
22,70,"A"
22,74,"E"
22,79,"B"
23,7,"C"
23,13,"B"
23,15,"C"
23,18,"C"
23,22,"C"
23,29,"A"
23,35,"E"
23,42,"C"
23,49,"A"
23,55,"D"
23,63,"C"
23,68,"D"
23,71,"A"
23,79,"E"
23,80,"A"
23,86,"A"
24,8,"C"
24,14,"E"
24,16,"D"
24,19,"B"
24,20,"D"
24,26,"A"
24,27,"C"
24,32,"C"
24,36,"C"
24,37,"C"
24,38,"B"
24,41,"D"
24,47,"A"
24,50,"B"
24,58,"E"
24,59,"C"
24,64,"E"
24,67,"C"
24,75,"B"
24,76,"B"
24,82,"E"
24,86,"D"
24,92,"D"
25,7,"B"
25,13,"C"
25,20,"A"
25,28,"B"
25,33,"D"
25,34,"C"
25,35,"B"
25,36,"C"
25,43,"D"
25,49,"D"
25,54,"D"
25,55,"C"
25,61,"D"
25,67,"B"
25,70,"D"
25,76,"C"
26,2,"C"
26,9,"D"
26,14,"D"
26,19,"B"
26,20,"A"
26,22,"C"
26,23,"A"
26,30,"C"
26,37,"C"
26,40,"C"
26,43,"D"
26,48,"C"
26,56,"C"
26,64,"C"
26,72,"B"
26,80,"D"
26,88,"E"
26,90,"C"
26,97,"C"
27,4,"C"
27,10,"C"
27,15,"C"
27,17,"C"
27,25,"E"
27,30,"C"
27,37,"D"
27,39,"D"
27,41,"C"
27,49,"D"
27,54,"B"
27,59,"C"
27,67,"B"
27,74,"B"
28,1,"B"
28,4,"B"
28,6,"A"
28,8,"D"
28,15,"C"
28,18,"D"
28,26,"E"
28,33,"C"
28,36,"D"
28,38,"B"
28,44,"D"
28,47,"C"
28,55,"B"
28,58,"C"
28,65,"D"
29,6,"B"
29,10,"C"
29,14,"E"
29,18,"C"
29,19,"C"
29,22,"D"
29,26,"D"
