Category: All categories

Month,Parenting: (Worldwide),Birth control: (Worldwide),Bruise: (Worldwide),Skin rash: (Worldwide),Insect bites and stings: (Worldwide)
2004-01,36,89,17,45,2
2004-02,38,92,18,42,3
2004-03,36,100,20,44,3
2004-04,35,98,20,48,4
2004-05,32,95,22,50,8
2004-06,30,92,23,56,11
2004-07,27,80,25,58,17
2004-08,28,84,27,54,23
2004-09,33,85,21,48,12
2004-10,34,90,20,44,6
2004-11,34,93,18,45,4
2004-12,30,76,19,44,3
2005-01,33,87,18,49,3
2005-02,35,88,18,45,3
2005-03,33,87,20,47,4
2005-04,34,94,23,51,5
2005-05,30,94,24,52,8
2005-06,29,85,25,57,14
2005-07,25,80,25,59,16
2005-08,27,78,25,54,14
2005-09,30,82,21,49,9
2005-10,31,85,22,45,6
2005-11,31,89,21,43,4
2005-12,25,70,18,44,3
2006-01,28,80,19,46,3
2006-02,29,79,19,48,3
2006-03,31,81,20,47,4
2006-04,27,79,21,52,5
2006-05,27,86,23,51,8
2006-06,25,74,23,54,14
2006-07,21,68,24,58,25
2006-08,23,69,23,52,16
2006-09,27,69,22,48,11
2006-10,27,74,21,44,7
2006-11,27,75,19,42,4
2006-12,23,61,17,42,3
2007-01,26,72,19,45,3
2007-02,25,70,18,46,3
2007-03,25,74,20,45,4
2007-04,24,72,21,47,6
2007-05,24,75,23,51,8
2007-06,22,68,24,53,12
2007-07,20,63,24,54,15
2007-08,21,63,24,52,16
2007-09,23,68,23,49,10
2007-10,25,74,22,46,6
2007-11,24,72,19,45,4
2007-12,21,59,19,43,3
2008-01,24,69,19,46,4
2008-02,24,69,21,48,4
2008-03,23,69,21,48,4
2008-04,24,74,22,50,5
2008-05,22,69,24,54,8
2008-06,21,64,25,58,13
2008-07,19,63,25,58,18
2008-08,19,63,25,55,17
2008-09,22,66,24,50,9
2008-10,23,67,24,49,6
2008-11,22,66,20,48,4
2008-12,19,61,20,46,3
2009-01,21,68,21,48,4
2009-02,22,65,29,49,3
2009-03,23,71,24,50,4
2009-04,22,69,24,55,6
2009-05,21,71,26,54,8
2009-06,19,69,26,57,13
2009-07,17,62,26,58,17
2009-08,18,65,27,58,20
2009-09,21,68,26,53,10
2009-10,21,66,23,48,6
2009-11,21,69,22,47,5
2009-12,18,59,21,46,4
2010-01,20,66,22,47,4
2010-02,21,67,24,48,3
2010-03,21,70,24,49,4
2010-04,20,69,25,53,6
2010-05,20,68,27,55,8
2010-06,18,64,30,59,13
2010-07,16,63,30,63,19
2010-08,16,63,28,60,17
2010-09,19,63,28,54,10
2010-10,20,65,26,51,6
2010-11,20,67,24,49,5
2010-12,17,59,23,50,4
2011-01,20,67,24,50,4
2011-02,20,65,25,52,4
2011-03,20,68,26,53,5
2011-04,19,66,27,57,7
2011-05,19,68,29,58,9
2011-06,17,68,31,63,13
2011-07,15,62,30,64,17
2011-08,15,65,29,60,20
2011-09,18,71,29,56,12
2011-10,19,68,27,53,8
2011-11,20,70,26,53,6
2011-12,17,62,25,53,4
2012-01,19,72,26,55,5
2012-02,25,98,27,57,4
2012-03,22,83,29,58,5
2012-04,19,73,33,63,6
2012-05,20,70,32,66,10
2012-06,17,65,34,67,14
2012-07,15,66,34,71,19
2012-08,16,69,35,68,22
2012-09,18,68,31,63,13
2012-10,19,69,29,58,8
2012-11,19,66,27,55,6
2012-12,17,56,27,56,5
2013-01,18,68,28,59,5
2013-02,18,66,30,60,5
2013-03,18,65,30,62,5
2013-04,18,68,32,65,7
2013-05,18,65,33,68,10
2013-06,16,65,35,71,15
2013-07,14,62,36,75,27
2013-08,14,61,35,71,27
2013-09,17,61,33,66,15
2013-10,18,65,33,63,10
2013-11,18,64,29,60,6
2013-12,17,55,28,60,5
2014-01,19,64,30,66,5
2014-02,18,61,31,64,5
2014-03,18,65,32,66,7
2014-04,18,63,34,70,8
2014-05,18,64,36,75,12
2014-06,16,62,36,76,19
2014-07,15,68,39,81,26
2014-08,15,60,36,74,23
2014-09,18,64,35,70,16
2014-10,19,66,33,69,11
2014-11,19,63,31,66,8
2014-12,17,56,29,63,6
2015-01,18,64,31,67,6
2015-02,18,61,31,69,6
2015-03,18,65,33,70,7
2015-04,18,65,36,71,9
2015-05,18,65,41,76,13
2015-06,16,65,38,81,21
2015-07,15,63,39,85,33
2015-08,15,61,38,80,34
2015-09,17,62,37,74,17
2015-10,19,66,36,71,11
2015-11,18,64,35,71,9
2015-12,17,58,33,73,8
2016-01,18,66,36,79,8
2016-02,18,63,35,77,8
2016-03,17,65,36,77,8
2016-04,18,69,38,81,10
2016-05,17,65,41,84,15
2016-06,16,63,42,90,22
2016-07,14,61,43,92,32
2016-08,14,63,44,90,28
2016-09,17,63,40,83,21
2016-10,18,67,39,78,13
2016-11,18,69,36,76,9
2016-12,16,58,34,75,8
2017-01,17,67,36,79,8
2017-02,18,66,38,81,8
