step,state,transition,probability,map
1,0,0,0.6233945848796878,0.6361657848225597
2,0,1,0.9769203805877884,0.977549559440938
3,1,0,0.6199936230423915,0.5655222717533037
4,1,-1,0.303466800345467,0.27845926077243577
5,0,0,0.40782888071103685,0.6361657848225597
6,0,0,0.44709555317703753,0.6361657848225597
7,0,1,0.8644035104119032,0.977549559440938
8,1,1,0.7899715132128173,0.787063010980868
9,2,1,0.7601247862166807,0.9386488830765071
10,3,0,0.8757057247082034,0.7843892782771116
11,3,0,0.614570343021734,0.7843892782771116
12,3,-1,0.2393608078599201,0.2867318946346401
13,2,1,0.9415057426338773,0.9386488830765071
14,3,0,0.540155525021943,0.7843892782771116
15,3,0,0.8822574694045562,0.7843892782771116
16,3,0,0.7183739644978009,0.7843892782771116
17,3,-1,0.12819163756952312,0.2867318946346401
18,2,1,0.8055303398690741,0.9386488830765071
19,3,-1,0.2334795635986724,0.2867318946346401
20,2,0,0.35951610806497714,0.4684924734124999
21,2,0,0.5983312445296298,0.4684924734124999
22,2,0,0.3872962426338673,0.4684924734124999
23,2,0,0.4391247895571857,0.4684924734124999
24,2,1,0.9297393770048794,0.9386488830765071
25,3,-1,0.14303740832092315,0.2867318946346401
26,2,0,0.4324397724560054,0.4684924734124999
27,2,-1,0.04288056470494417,0.02984359033599282
28,1,1,0.8934668392339402,0.787063010980868
29,2,-1,0.008005790839326732,0.02984359033599282
30,1,1,0.9331190908636546,0.787063010980868
31,2,0,0.5730353566274733,0.4684924734124999
32,2,-1,0.11577781462126735,0.02984359033599282
33,1,1,0.756039747574518,0.787063010980868
34,2,0,0.29617490997460383,0.4684924734124999
35,2,0,0.6598644492106105,0.4684924734124999
36,2,1,0.9572778709636758,0.9386488830765071
37,3,-1,0.30062401208396716,0.2867318946346401
38,2,1,0.9687715625444264,0.9386488830765071
39,3,0,0.5513827534078375,0.7843892782771116
40,3,-1,0.4015388583214967,0.2867318946346401
41,2,0,0.6116694554094502,0.4684924734124999
42,2,0,0.4562853270692968,0.4684924734124999
43,2,0,0.2815305150251992,0.4684924734124999
44,2,1,0.928662728936432,0.9386488830765071
45,3,-1,0.06346590698061916,0.2867318946346401
46,2,0,0.588071937134206,0.4684924734124999
47,2,-1,0.011127004281583863,0.02984359033599282
48,1,-1,0.2961953503563004,0.27845926077243577
49,0,-1,0.3370703988343513,0.15861622538162168
50,7,-1,0.25890432095200144,0.3067155330597854
51,6,1,0.7525871175600551,0.6517340819109905
52,7,-1,0.4412810007561405,0.3067155330597854
53,6,1,0.9901470252247224,0.6517340819109905
54,7,0,0.5442915444336682,0.7622678420137292
55,7,-1,0.17591536144958964,0.3067155330597854
56,6,1,0.7674423685938327,0.6517340819109905
57,7,1,0.9304715828503431,0.9555523089539438
58,0,-1,0.25087077901130184,0.15861622538162168
59,7,1,0.9580121699168791,0.9555523089539438
60,0,1,0.8363281809746383,0.977549559440938
61,1,1,0.8318160626070912,0.787063010980868
62,2,0,0.30711699449916163,0.4684924734124999
63,2,0,0.6254337255116957,0.4684924734124999
64,2,0,0.554691064507995,0.4684924734124999
65,2,1,0.7927367178431015,0.9386488830765071
66,3,-1,0.10854740733800972,0.2867318946346401
67,2,-1,0.11184850926599932,0.02984359033599282
68,1,-1,0.15728540724116513,0.27845926077243577
69,0,1,0.82478347005341,0.977549559440938
70,1,0,0.6403341467497385,0.5655222717533037
71,1,1,0.9717056237926611,0.787063010980868
72,2,0,0.6785868003230102,0.4684924734124999
73,2,-1,0.050472046581537366,0.02984359033599282
74,1,-1,0.23713392331213545,0.27845926077243577
75,0,-1,0.13698246297143268,0.15861622538162168
76,7,0,0.6438905722813435,0.7622678420137292
77,7,-1,0.4663997387545764,0.3067155330597854
78,6,1,0.4110174430538085,0.6517340819109905
79,7,-1,0.37035531887900897,0.3067155330597854
80,6,1,0.6767385848145888,0.6517340819109905
81,7,0,0.8533746939400333,0.7622678420137292
82,7,0,0.7820512947201184,0.7622678420137292
83,7,0,0.8476060644676471,0.7622678420137292
84,7,-1,0.1761672014978395,0.3067155330597854
85,6,-1,0.066485359202614,0.017659530230212828
86,5,-1,0.20903181543377491,0.3087684843667915
87,4,-1,0.22840372798681052,0.1854823723941773
88,3,0,0.5654701085976126,0.7843892782771116
89,3,0,0.5814368754949355,0.7843892782771116
90,3,0,0.7706402167825526,0.7843892782771116
91,3,0,0.6648811250932551,0.7843892782771116
92,3,0,0.6394667950281718,0.7843892782771116
93,3,-1,0.19844160882400086,0.2867318946346401
94,2,0,0.3880929905490389,0.4684924734124999
95,2,0,0.6761007110067414,0.4684924734124999
96,2,1,0.9132048592588289,0.9386488830765071
97,3,0,0.6350476929826265,0.7843892782771116
98,3,-1,0.3306906781934713,0.2867318946346401
99,2,0,0.6771696396066376,0.4684924734124999
100,2,1,0.7601891966270886,0.9386488830765071
101,3,-1,0.4362846627763166,0.2867318946346401
102,2,-1,0.1217830510441944,0.02984359033599282
103,1,0,0.528368547836475,0.5655222717533037
104,1,0,0.517802884198064,0.5655222717533037
105,1,0,0.4943064481073953,0.5655222717533037
106,1,0,0.6020521680425925,0.5655222717533037
107,1,-1,0.28309514079419196,0.27845926077243577
108,0,1,0.8672930244282475,0.977549559440938
109,1,-1,0.022646704234066783,0.27845926077243577
110,0,-1,0.20546365810156608,0.15861622538162168
111,7,0,0.820865927675986,0.7622678420137292
112,7,-1,0.20069870350471852,0.3067155330597854
113,6,1,0.45765241627813347,0.6517340819109905
114,7,0,0.8321280500184254,0.7622678420137292
115,7,1,0.9694574816944233,0.9555523089539438
116,0,-1,0.24590320609881555,0.15861622538162168
117,7,-1,0.20821340841123526,0.3067155330597854
118,6,0,0.1646093668935802,0.1693936121412033
119,6,1,0.7077942830486426,0.6517340819109905
120,7,-1,0.26724844035023687,0.3067155330597854
121,6,-1,0.09253680545890042,0.017659530230212828
122,5,-1,0.05325019468534764,0.3087684843667915
123,4,-1,0.07429311481208711,0.1854823723941773
124,3,-1,0.24056896111951964,0.2867318946346401
125,2,-1,0.04960817763867631,0.02984359033599282
126,1,0,0.5627412732729398,0.5655222717533037
127,1,0,0.46138288728349264,0.5655222717533037
128,1,0,0.6119869656292527,0.5655222717533037
129,1,-1,0.37084471866426627,0.27845926077243577
130,0,1,0.8962308820580169,0.977549559440938
131,1,-1,0.16913150957762246,0.27845926077243577
132,0,-1,0.17769948013936254,0.15861622538162168
133,7,-1,0.193614977554859,0.3067155330597854
134,6,0,0.12928516242579358,0.1693936121412033
135,6,1,0.5828388959198267,0.6517340819109905
136,7,-1,0.006691860784325154,0.3067155330597854
137,6,0,0.3757283552124606,0.1693936121412033
138,6,0,0.22828232330282172,0.1693936121412033
139,6,0,0.31466047160899735,0.1693936121412033
140,6,0,0.1512221138461889,0.1693936121412033
141,6,1,0.851939884694547,0.6517340819109905
142,7,-1,0.2753430655887241,0.3067155330597854
143,6,1,0.7234523787815557,0.6517340819109905
144,7,-1,0.2992449490991149,0.3067155330597854
145,6,-1,0.08225145947833168,0.017659530230212828
146,5,0,0.8161437765165063,0.7874042703127457
147,5,0,0.8709900851333785,0.7874042703127457
148,5,-1,0.013962125788714808,0.3087684843667915
149,4,-1,0.040466669691303636,0.1854823723941773
150,3,-1,0.2650965046243534,0.2867318946346401
151,2,0,0.4238853178398736,0.4684924734124999
152,2,0,0.5297972843806762,0.4684924734124999
153,2,0,0.2961672696041693,0.4684924734124999
154,2,0,0.35501331413955595,0.4684924734124999
155,2,-1,0.22724418632064336,0.02984359033599282
156,1,1,0.7016023974927226,0.787063010980868
157,2,1,0.7928500061583517,0.9386488830765071
158,3,-1,0.4188776454300043,0.2867318946346401
159,2,0,0.5678450259515038,0.4684924734124999
160,2,-1,0.08519407571522497,0.02984359033599282
