"subject","time","event"
1,5,"C"
1,7,"B"
1,15,"D"
1,20,"B"
1,24,"C"
1,32,"C"
1,40,"C"
1,45,"C"
1,51,"C"
1,57,"C"
1,65,"D"
1,70,"D"
1,74,"C"
1,75,"D"
1,83,"A"
1,86,"C"
1,89,"B"
1,91,"B"
1,92,"C"
1,94,"A"
1,99,"C"
1,106,"D"
2,7,"D"
2,10,"D"
2,15,"C"
2,22,"A"
2,27,"E"
2,28,"E"
2,36,"D"
2,41,"B"
2,44,"B"
2,48,"A"
2,51,"C"
2,56,"C"
2,57,"C"
2,59,"C"
2,61,"E"
2,69,"D"
2,77,"B"
2,85,"C"
2,90,"C"
3,1,"C"
3,3,"A"
3,7,"C"
3,11,"C"
3,14,"C"
3,22,"D"
3,28,"C"
3,29,"E"
3,30,"C"
3,32,"C"
3,39,"C"
3,45,"E"
4,1,"C"
4,7,"C"
4,15,"C"
4,22,"C"
4,30,"B"
4,32,"D"
4,35,"C"
4,40,"E"
4,46,"C"
4,53,"A"
4,55,"C"
4,63,"D"
4,69,"C"
5,7,"B"
5,14,"A"
5,19,"B"
5,24,"B"
5,26,"E"
5,31,"D"
5,37,"B"
5,43,"C"
5,48,"D"
5,52,"B"
5,53,"C"
5,54,"B"
5,61,"C"
5,68,"D"
5,75,"C"
5,83,"C"
6,5,"C"
6,9,"C"
6,15,"C"
6,16,"E"
6,21,"C"
6,26,"C"
6,34,"C"
6,42,"C"
6,43,"B"
6,45,"C"
6,50,"C"
6,58,"B"
6,59,"D"
6,67,"C"
6,74,"B"
6,82,"C"
6,90,"C"
6,98,"C"
6,105,"B"
7,2,"C"
7,4,"E"
7,11,"E"
7,16,"B"
7,21,"C"
7,25,"B"
7,27,"C"
8,3,"D"
8,4,"D"
8,9,"C"
8,14,"C"
8,20,"E"
8,25,"D"
8,30,"D"
8,32,"A"
8,34,"E"
8,40,"A"
8,48,"E"
8,56,"C"
8,62,"C"
8,70,"C"
8,78,"C"
8,80,"C"
9,6,"D"
9,7,"A"
9,10,"D"
9,16,"C"
9,18,"C"
9,21,"B"
9,27,"C"
9,31,"D"
9,36,"B"
9,39,"B"
9,44,"D"
9,52,"C"
9,58,"B"
9,61,"D"
10,7,"C"
10,13,"B"
10,17,"A"
10,23,"D"
10,28,"B"
10,35,"A"
10,36,"D"
10,42,"D"
10,45,"D"
10,53,"B"
10,57,"A"
10,62,"C"
10,69,"A"
10,77,"B"
10,80,"C"
10,83,"D"
10,88,"C"
11,4,"E"
11,11,"A"
11,14,"E"
11,15,"D"
11,22,"C"
11,30,"C"
11,32,"C"
11,39,"E"
11,42,"C"
11,45,"D"
11,46,"C"
11,47,"C"
11,48,"C"
11,55,"B"
11,63,"B"
11,64,"B"
11,71,"C"
11,72,"D"
12,5,"D"
12,9,"C"
12,10,"C"
12,14,"C"
12,15,"C"
12,19,"B"
12,27,"E"
12,35,"D"
12,37,"C"
12,42,"A"
12,45,"C"
12,47,"C"
12,54,"C"
12,56,"C"
12,57,"C"
12,63,"D"
12,66,"C"
12,70,"D"
12,72,"C"
12,73,"C"
12,75,"C"
12,80,"C"
13,5,"C"
13,9,"C"
13,14,"A"
13,18,"B"
13,23,"C"
13,27,"C"
13,30,"E"
13,37,"B"
13,40,"E"
13,43,"C"
13,46,"C"
13,49,"C"
13,52,"C"
13,59,"B"
13,63,"B"
13,64,"A"
13,68,"A"
13,76,"C"
14,7,"D"
14,10,"C"
14,15,"C"
14,20,"E"
14,23,"C"
14,24,"C"
14,27,"C"
14,30,"B"
14,31,"B"
14,34,"D"
14,36,"C"
14,38,"E"
14,46,"A"
14,48,"C"
14,54,"B"
14,56,"C"
14,63,"B"
14,64,"C"
14,65,"C"
14,69,"B"
14,72,"B"
15,7,"C"
15,15,"C"
15,16,"C"
15,18,"C"
15,22,"E"
15,30,"D"
15,33,"C"
15,35,"C"
15,43,"C"
15,44,"C"
15,48,"C"
15,49,"C"
